,canonicalUrl,description,image,name,price,rating.averageRating,rating.numberOfReviews
42,/ip/TCL-55-Class-4-Series-4K-UHD-HDR-Smart-Roku-TV-55S451/533225197?athbdg=L1100,Tcl Merchandise,https://i5.walmartimages.com/asr/4bbb94dd-89c5-4ac8-a79a-843d16360ec0.13045dbc094bba5844dab2413d33578d.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 55"" Class 4-Series 4K UHD HDR Smart Roku TV - 55S451",278.0,3.9,3059.0
43,/ip/TCL-50-Class-4-Series-4K-UHD-HDR-Smart-Android-TV-50S434/512822921,"The 4-Series 4K TCL Android TV delivers stunning Ultra HD picture quality with four times the resolution of Full HD for enhanced clarity and detail, as well as endless entertainment with thousands of",https://i5.walmartimages.com/asr/e10b3729-7963-4c92-8354-832fa5ffe8e6.108edccb44d3acdf3f7bc323f960ebb9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 50"" Class 4-Series 4K UHD HDR Smart Android TV  50S434",278.0,3.1,14.0
44,,,,,,,
45,/ip/SAMSUNG-43-Class-4K-Crystal-UHD-2160P-LED-Smart-TV-with-HDR-UN43TU7000/595456996,"Samsung 43-inch Class Crystal UHD TU-7000 Series - 4K UHD HDR Smart TV (UN43TU7000FXZA, 2020 Model)<li>CRYSTAL PROCESSOR 4K: This ultra-fast processor transforms everything you watch into stunning 4K.</li>",https://i5.walmartimages.com/asr/78d2ce73-66aa-4634-afc7-1858e8a398eb.3e376008d3d4d407238d8969ea96765e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"SAMSUNG 43"" Class 4K Crystal UHD (2160P) LED Smart TV with HDR UN43TU7000",297.99,4.5,15208.0
46,/ip/SAMSUNG-43-Class-4K-Crystal-UHD-2160P-LED-Smart-TV-with-HDR-UN43TU7000B/643365761,"<li>The ultra-fast processor transforms everything you watch into stunning 4K.</li><li>See what youve been missing on the crisp, clear picture thats 4X the resolution of Full HD.</li>",https://i5.walmartimages.com/asr/78d2ce73-66aa-4634-afc7-1858e8a398eb.3e376008d3d4d407238d8969ea96765e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"SAMSUNG 43"" Class 4K Crystal UHD (2160P) LED Smart TV with HDR UN43TU7000B",297.99,4.5,9997.0
47,/ip/Hisense-58-Class-4K-UHD-LED-LCD-Roku-Smart-TV-HDR-R6-Series-58R6E3/587182688,"4K UltraHD-Delivers more than four times the resolution of a regular 1080p high-definition screen Along with over 8.3 million pixels, inside youll find a powerful full array LED backlight at work",https://i5.walmartimages.com/asr/9bbfd5a6-07ad-4660-90ef-2b9217443dba.ac35f5dbcdff7e5f0e3342185ac6d709.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Hisense 58"" Class 4K UHD LED LCD Roku Smart TV HDR R6 Series 58R6E3",298.0,3.9,2464.0
48,/ip/VIZIO-50-Class-V-Series-4K-UHD-LED-Smart-TV-V505-J09/378837297?athbdg=L1300,<li>4K Ultra HD</li><li>Dolby Vision HDR and HDR10</li><li>Full Array Backlight</li>,https://i5.walmartimages.com/asr/6ffb1a06-6899-4f3a-928b-6c8d215023d2.03d011d7a1576febc9b9fee50fc5be9a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 50"" Class V-Series 4K UHD LED Smart TV V505-J09",298.0,4.4,7205.0
49,/ip/onn-55-QLED-4K-UHD-2160p-Roku-Smart-TV-with-Dolby-Atmos-Dolby-Vision-Local-Dimming-120hz-Effective-Refresh-Rate-and-HDR-100071701/626462471?athbdg=L1300,"<li>onn. 55 QLED 4K UHD (2160p) Roku Smart TV with Dolby Atmos, Dolby Vision, Local Dimming, 120hz Effective Refresh Rate, and HDR (100071701): QLED 4K (2160p) UHD frameless display, local dimming,</li>",https://i5.walmartimages.com/asr/56b7e1fc-6086-412f-874c-ea70298a9789.b079ec1008c5e8d51d3adc52b5340f39.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"onn. 55 QLED 4K UHD (2160p) Roku Smart TV with Dolby Atmos, Dolby Vision, Local Dimming, 120hz Effective Refresh Rate, and HDR (100071701)",298.0,4.5,72.0
50,/ip/TCL-55-Class-4-Series-4K-UHD-HDR-Smart-Android-TV-55S434/922824850,Stunning 4K Ultra HD: 4K resolution delivers stunning detail and remarkable visual experience. High Dynamic Range: HDR delivers bright and accurate colors for a lifelike viewing experience. Google,https://i5.walmartimages.com/asr/e10b3729-7963-4c92-8354-832fa5ffe8e6.108edccb44d3acdf3f7bc323f960ebb9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 55"" Class 4-Series 4K UHD HDR Smart Android TV - 55S434",299.99,4.0,128.0
51,/ip/JVC-58-Class-4K-UHD-2160P-HDR-Roku-Smart-LED-TV-LT-58MAW595/680604495,"58"" Tv 4k Led Roku",https://i5.walmartimages.com/asr/c02a36ca-2821-42d8-ba5d-97fd33795d3e.4f3d53a22e6435ab016f93cf7a984dcf.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"JVC 58"" Class 4K UHD 2160P HDR Roku Smart LED TV (LT-58MAW595)",339.99,3.8,498.0
52,/ip/VIZIO-55-Class-V-Series-4K-UHD-LED-Smart-TV-V555-J01/673142015,<li>4K Ultra HD</li><li>Dolby Vision HDR and HDR10</li><li>Full Array Backlight</li>,https://i5.walmartimages.com/asr/5db82745-c26c-409c-823f-9596eada5555.bdc2a6e3be2f446317ff84eaa965a8a8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 55"" Class V-Series 4K UHD LED Smart TV V555-J01",348.0,4.4,6765.0
